_id__$oid	course	semester	count	lastUpdated__$date	lastStatus
5a13a9d1ce2097cd143d6977	BEPP-250-205	2018A	9	2018-02-10T21:30:06.198Z	FALSE
5a13a9d2ce2097cd143d6986	MKTG-476-402	2018A	31	2018-02-10T21:30:01.221Z	FALSE
5a13a9d7ce2097cd143d69bb	STAT-432-401	2018A	20	2018-02-10T21:30:01.235Z	TRUE
5a13a9dcce2097cd143d6a18	CIS-320-001	2018A	32	2018-02-10T21:30:03.394Z	FALSE
5a13a9ddce2097cd143d6a24	REAL-209-401	2018A	1	2017-11-30T14:45:01.768Z	FALSE
5a13a9e2ce2097cd143d6a63	FNCE-101-002	2018A	19	2018-02-10T21:30:16.237Z	FALSE
5a13a9eace2097cd143d6ae2	REAL-209-403	2018A	1	2017-12-12T15:10:15.400Z	TRUE
5a13aa2ece2097cd143d6e9b	FNCE-100-001	2018A	2	2018-02-10T21:30:10.327Z	FALSE
5a13aa38ce2097cd143d6f2e	FNCE-100-003	2018A	5	2018-02-10T21:30:14.709Z	FALSE
5a13aa3dce2097cd143d6f88	FNCE-100-004	2018A	1	2017-11-29T05:55:15.790Z	TRUE
5a13aa3ece2097cd143d6f93	MATH-241-202	2018A	16	2018-02-10T21:30:01.251Z	FALSE
5a13aa42ce2097cd143d6fb4	FNCE-100-005	2018A	1	2017-11-29T05:55:35.374Z	TRUE
5a13aa46ce2097cd143d6fe3	FNCE-207-001	2018A	73	2018-02-10T21:30:01.290Z	FALSE
5a13aa65ce2097cd143d71bc	PSYC-170-001	2018A	131	2018-02-10T21:30:01.441Z	FALSE
5a13aa8ece2097cd143d7452	PPE-153-401	2018A	14	2018-02-10T21:30:01.341Z	FALSE
5a13aa8fce2097cd143d746b	PSYC-170-601	2018A	25	2018-02-10T21:30:03.851Z	FALSE
5a13aa97ce2097cd143d74f4	MATH-240-601	2018A	1	2018-02-10T21:30:01.398Z	TRUE
5a13aa9cce2097cd143d7534	PSYC-253-601	2018A	19	2018-02-10T21:30:09.102Z	FALSE
5a13aab7ce2097cd143d76b0	PSYC-253-401	2018A	92	2018-02-10T21:30:01.431Z	FALSE
5a13aac7ce2097cd143d77a4	BIOL-204-001	2018A	7	2018-02-10T21:30:01.958Z	FALSE
5a13aad1ce2097cd143d784a	HCMG-203-001	2018A	13	2018-02-10T21:30:04.031Z	FALSE
5a13aad6ce2097cd143d78ad	MATH-314-401	2018A	12	2017-12-11T17:20:02.174Z	TRUE
5a13aaddce2097cd143d7921	CIMS-061-401	2018A	2	2018-02-10T21:30:01.477Z	TRUE
5a13aadfce2097cd143d7929	MATH-314-402	2018A	5	2017-12-12T01:10:02.412Z	TRUE
5a13aae2ce2097cd143d794f	NURS-215-201	2018A	4	2018-02-10T21:30:01.510Z	FALSE
5a13aae7ce2097cd143d79c0	ENGL-079-401	2018A	1	2017-12-09T00:20:02.278Z	TRUE
5a13aaeace2097cd143d79dd	BEPP-250-001	2018A	60	2018-02-10T21:30:01.547Z	FALSE
5a13aaf6ce2097cd143d7a9c	ASTR-001-001	2018A	8	2018-02-10T21:30:16.729Z	FALSE
5a13aafbce2097cd143d7af9	BEPP-250-004	2018A	6	2018-02-10T21:30:14.839Z	FALSE
5a13ab01ce2097cd143d7b44	BEPP-250-005	2018A	6	2018-02-10T21:30:14.812Z	FALSE
5a13ab02ce2097cd143d7b49	ENVS-100-001	2018A	1	2017-12-09T00:20:02.417Z	TRUE
5a13ab12ce2097cd143d7c50	NURS-215-202	2018A	3	2018-02-10T21:30:01.678Z	FALSE
5a13ab13ce2097cd143d7c5f	ITAL-204-401	2018A	12	2018-02-10T21:30:06.071Z	FALSE
5a13ab1dce2097cd143d7cee	MATH-241-001	2018A	4	2018-02-10T21:30:13.533Z	FALSE
5a13ab1dce2097cd143d7cf4	SPAN-208-680	2018A	2	2017-11-30T14:50:02.706Z	TRUE
5a13ab22ce2097cd143d7d35	NURS-215-203	2018A	5	2018-02-10T21:30:01.888Z	FALSE
5a13ab23ce2097cd143d7d65	MATH-241-002	2018A	1	2017-12-11T17:20:02.744Z	TRUE
5a13ab2bce2097cd143d7db5	MATH-241-201	2018A	5	2018-02-10T21:30:13.558Z	FALSE
5a13ab34ce2097cd143d7e3f	MATH-241-203	2018A	4	2018-02-10T21:30:16.497Z	FALSE
5a13ab34ce2097cd143d7e43	RUSS-197-402	2018A	1	2017-11-29T19:30:02.878Z	FALSE
5a13ab41ce2097cd143d7f28	OIDD-101-201	2018A	49	2018-02-10T21:30:01.889Z	FALSE
5a13ab4ece2097cd143d7fdb	MATH-114-001	2018A	23	2018-02-10T21:30:02.817Z	TRUE
5a13ab58ce2097cd143d8071	MATH-114-202	2018A	15	2018-02-10T21:30:02.836Z	FALSE
5a13ab5cce2097cd143d8098	STAT-431-401	2018A	12	2018-02-10T21:30:17.014Z	FALSE
5a13ab5fce2097cd143d80f7	STAT-431-402	2018A	9	2018-02-10T21:30:07.416Z	FALSE
5a13ab7ace2097cd143d824a	MATH-312-001	2018A	48	2018-02-10T21:30:02.010Z	FALSE
5a13ab8bce2097cd143d8344	COMM-393-401	2018A	6	2018-02-10T21:30:01.894Z	FALSE
5a13aba0ce2097cd143d8466	ECON-002-209	2018A	17	2018-02-10T21:30:05.459Z	FALSE
